OBJECTID,ID,CODIGO_DANE,NOMBRE,ULTIMO_TIPO_ACTO_ADMIN,ULTIMO_NUMERO_ACTO_ADMIN,ULTIMA_FECHA_ACTO_ADMIN,AREA_TOTAL_ACTOS_ADMIN,ULTIMO_NUMERO_PLANO,PUEBLO,DEPARTAMENTO,MUNICIPIO,GlobalID
241,10738,1743,Resguardo Indígena Nasa Paez de Yu Yik Kwe,ACUERDO,0088,2006/12/20 00:00:00+00,2703.6676,10-0-00023,NASA PAEZ,76,76233,{58195620-BD55-40F5-A291-F93F925649B8}
242,10615,1392,Resguardo Indígena de Yunguillo,ACUERDO,362,2015/05/05 00:00:00+00,26716.9305,016126AE86001,INGA,86,86001,{AFA88618-FB17-4CAB-91B9-028EEA119A30}
243,10324,1238,Resguardo Indígena Embera del Rio Nuqui,RESOLUCION,0013,1982/04/21 00:00:00+00,9500,G-198483,EMBERA,27,27495,{D4157594-33E0-4755-B50C-C0AA50061455}
244,10134,1099,Resguardo Indígena Witoto del Paraje Monochoa,RESOLUCION,25,2017/07/17 00:00:00+00,417883.9794,ACCTI 9166920,HUITOTO,18,18756,{8D2E321E-637A-48F2-99A2-0EEE32FA2F40}
245,10097,1063,Resguardo Indígena Guahibo Puyeros,RESOLUCION,0013,1985/02/20 00:00:00+00,27.2755,P - 175.523,GUAHIBO,81,81794,{5BBB13CD-99AD-419A-8428-7CB22441D771}
246,10898,SIN INFORMACION,Resguardo Indígena San Pedro Alcantara de la Sabaneta,ACUERDO,374,2024/05/31 00:00:00+00,139.3482,ACCTI 02370221282,ZENÚ,70,70221,{1804C528-F67A-45AA-8335-A43B31967E80}
247,10016,"1012, 1014",Resguardo Indígena Ticuna de San Antonio de Los Lagos y San Sebastian,ACUERDO,344,2023/12/22 00:00:00+00,19639.5012,ACCTI 0241910012277,TICUNA,91,91001,{22183DAE-968A-40EE-A859-939B625BB9FF}
248,10633,1594,Resguardo Indígena Pijao de Chaquira,RESOLUCION,0021,2000/06/29 00:00:00+00,578.1362,I-605.469 de agosto 09 de 1999,PIJAO,73,73483,{29A02668-F42C-4444-9AD1-7C28EE898205}
249,10840,SIN ASIGNAR,Resguardo Embera Drua,ACUERDO,356,2024/04/05 00:00:00+00,58.52,ACCTI 18001182,EMBERA,18,18001,{99C0D3F3-47FC-499A-9FBD-068218ECB579}
250,10321,1218,Resguardo Indígena del Rio La Playa,RESOLUCION,254,2011/06/19 00:00:00+00,5446.156,10-0-400,EMBERA KATIO,27,27245,{E3A68574-4662-4CC1-9CD7-37BBE32DA2F6}
251,10534,1362,Resguardo Indígena Embera (Eperara-Siapidara) de el Turbio y Bacao (Rio Satinga),RESOLUCION,39,2001/09/24 00:00:00+00,3924.322,I-630.278,EPARARA SIAPIDARA TRUA,NARIÑO,OLAYA HERRERA,{C11C3E56-0461-4D25-A67C-0F9E1766C40E}
252,10705,1793,Resguardo Indígena Velu Centro,ACUERDO,0318,2013/11/12 00:00:00+00,79.2166,10-0-00930,PIJAO,73,73483,{ED1DD2BF-CB15-4789-9B1E-EC0DD08A3EC6}
253,10246,1211,Resguardo Indígena Embera del Alto Río Cuia,RESOLUCION,0049,1986/07/10 00:00:00+00,22362.5,P-198612,Embera,27, Bojayá,{3317E8A8-DCC1-4F6F-8015-B93AF7B5283B}
254,10306,1257,Resguardo Indígena Embera de Perancho,RESOLUCION,44,1999/05/31 00:00:00+00,896,P - 466.874,EMBERA KATIO,27,27615,{5D2A24EE-7426-40BE-A051-5EB59570D35B}
255,10012,1004,Resguardo Indigena Puerto Córdoba,RESOLUCION,74,2018/10/25 00:00:00+00,50847.7492,ACCTI 91407132 del Nov 2017,YUCUNA Y OTROS,91,91001,{124A50BE-9989-490A-BBE4-26F076E2FE4D}
256,11006,SIN ASIGNAR,Resguardo Indígena El Arenal,RESOLUCION,266,2023/03/23 00:00:00+00,63.9375,ACCTI 52835481,AWA,52,52835,{6802AB6C-D57F-45DE-B4A2-517CB1D8C253}
257,10166,1733,Resguardo Indígena GUAMBIANA LA BONANZA,ACUERDO,0072,2006/08/17 00:00:00+00,131.7988,10-0-00024,GUAMBIANO,19,19473,{B5082274-5D27-4404-997F-2A0701880CD9}
258,10212,1156,Resguardo Indígena Paez de Poblazon,RESOLUCION,5,1992/04/28 00:00:00+00,2290.3428,P-466.175,PAEZ,19,19001,{6B5E18AF-F4DA-4549-8738-75C0A45720CF}
259,10775,1715,Resguardo Indígena Selva De Mataven,ACUERDO,427,2024/12/10 00:00:00+00,1925072.8944,ACCTI02499773903,"SIKAUNI, PIAROA, PUINAVE, PIAPOCO, CUBEO, CURRIPACO",99,99773,{8872034C-E16B-4D17-B8E8-E075D5F38C83}
260,10394,1298,"Resguardo Indígena Curripaco de Tonina, Sejal, San Jose y Otras",RESOLUCION,0079,1989/09/26 00:00:00+00,853320,P-198-885,CURRIPACO,94,94001,{091560F4-E3E9-4136-93C5-FE0FA78BA484}
261,10559,1718,Resguardo Indígena Inga de Blasiaku,RESOLUCION,0025,2004/12/15 00:00:00+00,59.167719,ING-G30.878 de octubre de 2003,INGA,86,86885,{D39CD0C8-E476-458B-937B-9769D5DA6B37}
262,10695,1551,Resguardo Indígena Pijao Santa Marta Inspeccion,RESOLUCION,"23
",1999/05/05 00:00:00+00,178.0938,I-579.803,PIJAO,73,73217,{050EC5D2-921A-4B71-8C15-24C31FC8650D}
263,11284,1765,Resguardo Indígena Embera Chami Dachi Agore Drua,ACUERDO,0226,2010/10/26 00:00:00+00,141.299,10-0-00167,EMBERA,63,63130,{4C0D860C-3912-43DD-8069-E5D6F952A759}
264,11076,,Resguardo Indígena Komuya Amena,RESOLUCION,513,2025/08/27 00:00:00+00,19.5171,ACCTI023865734160,MURUI MUINA,86,86573,{D30CFCB8-3263-4B55-B5F1-3B0E9F36A873}
265,10122,1078,Resguardo Indígena Coreguaje de Getucha,RESOLUCION,0093,1989/11/07 00:00:00+00,145.17,B-183.733,COREGUAJE,18,18460,{095AA2FF-E032-4DDA-9771-30941EE30E35}
266,11067,1869,Resguardo Indígena Inga De Santiago,RESOLUCION,109,2019/12/20 00:00:00+00,6353.0711,SIN INFORMACION,INGA,52,86760,{C841031D-A086-460D-92D2-7BE2FB3BE9F2}
267,10440,1320,"Resguardo Indígena Wayuu de el Caimito, La Ceiba, Madre Vieja y el Paraiso ""Caicemapa""",RESOLUCION,0045,1994/11/01 00:00:00+00,504.892,532.608 de octubre de 1993,WAYUU,44,44279,{01C9A23F-354B-4A8C-AA89-CD481A7E935A}
268,10221,1153,Resguardo Indígena Inga de San Rafael,RESOLUCION,0051,1997/12/18 00:00:00+00,112.9128,P 466-586,INGA,19,PIAMONTE,{D2CBF12A-C3DE-4340-8C9D-BC8AFBF09D89}
269,10548,1385,Resguardo Indígena Motilon Bari,RESOLUCION,0102,1988/11/28 00:00:00+00,52570,G-398-769 de enero de 1988,MOTILON BARI,54,54245,{D08124C6-7E25-42E9-8FDA-E9226FB4455A}
270,10668,1627,Resguardo Indígena Pijao de Olirco,RESOLUCION,0016,2001/06/28 00:00:00+00,236.9088,I-606.632,PIJAO,73,73483,{3F3E62E4-F4BB-44E8-80AF-81F2F37F2302}
271,10406,1650,Resguardo Indígena El Itilla,RESOLUCION,0018,2002/12/10 00:00:00+00,8719.276,588-234,KARAPANA DESANA CUBEO TUCANO,95,13140,{75B7BA11-B107-4B88-A41C-84CD61529214}
272,10276,1622,"Resguardo Indígena Embera Katio de Gegora, Quipara, Murando, Tiravenado y Jiguado",RESOLUCION,0011,2001/06/28 00:00:00+00,3464.413,I-630.253,EMBERA KATIO,27,27413,{365DBDAE-5A53-4269-9CBD-601B85CA3A71}
273,11077,,Resguardo Indígena Inga Runa Alpa Wasi del pueblo Inga,RESOLUCION,499,2025/07/30 00:00:00+00,81.4251,ACCTI023860014028,INGA,86,86001,{E1CADCD8-BD5F-453D-A193-C593634D30FE}
274,10204,1695,Resguardo Indígena Paez De Las Mercedes,RESOLUCION,156,2021/05/10 00:00:00+00,142.01,"ACCTI 19137815 / ACCTI 19137816
ACCTI 19137813 / ACCTI 19137866
ACCTI 19137814 / ACCTI 19137867
ACCTI 19137873",NASA PAEZ,19,19137,{F1CBA28B-BD90-4838-B99E-823CF8BDFC6E}
275,11184,1857,Resguardo Indígena Embera Chami Cacique Queragama,ACUERDO,78,2018/11/15 00:00:00+00,118.8835,ACCTI 76113294,EMBERA CHAMI,76,76113,{AEEB9E76-3CF0-47CD-B151-9436F192E7D5}
276,10268,1797,Resguardo Indígena Embera Katio El Dieciocho,ACUERDO,0330,2014/02/20 00:00:00+00,1563.2729,007164AE27050,EMBERA KATIO,27,27245,{4C2C3766-40DB-4D53-9F78-CA97ABD2780F}
277,11012,SIN ASIGNAR,Resguardo Indígena Yachay Wasi,RESOLUCION,238,2022/10/27 00:00:00+00,42.7045,ACCTI 860011245,YANACONA,86,86001,{B09B5970-C9BC-46C0-82C8-15A1E0227805}
278,10601,1656,Resguardo Inga de San Miguel De La Castellana,RESOLUCION,0024,2002/12/12 00:00:00+00,505.6029,R-647.088,INGA,86,86885,{DC57618B-53D4-4CA4-827E-5807003E8A93}
279,10253,1264,Resguardo Indígena Embera de Bochoroma Bochoromacito,RESOLUCION,38,2001/09/24 00:00:00+00,1421.6237,N-630.235,EMBERA,27,27787,{A41DAD63-F191-4DC1-A8E0-4E95E54E2EDF}
280,10149,1829,Resguardo Indígena Nasa We' Sx Kiwe La Gaitana,ACUERDO,0031,2017/08/31 00:00:00+00,145.298,ACCTI 1800116,NASA,18,18001,{DC5B1067-85AF-4C68-B66B-11604B5808B3}
281,10591,1708,Resguardo Indígena Embera Chami La Italia,RESOLUCION,0016,2003/07/22 00:00:00+00,736.3184,R-647.139,EMBERA CHAMI,86,86865,{9DF5F1FD-B590-44FC-9A95-60C296134705}
282,10009,1010,Resguardo Indígena de Mocagua,ACUERDO,404,2024/11/07 00:00:00+00,46785.6518,ACCTI02491001758,TICUNA,91,91001,{AC6AC773-989F-4ADA-BBDC-31816F714AA9}
283,10939,1891,Resguardo Indígena Nukat Maleiwua (Bendicion De Dios),ACUERDO,196,2021/11/30 00:00:00+00,375.6576,ACCTI 444301067,WAYUU,44,44430,{096309BF-CEDA-4337-BD61-318FE879EC4C}
284,10004,1003,Resguardo Indígena Yukuna-Cubeo de Curare Los Ingleses,RESOLUCION,19,1995/05/16 00:00:00+00,212320,P466.455 de 23/Feb/1995,YUCUNA Y CUBEO,91,91001,{E8CF997D-C08A-4DC8-AA13-6B6E00129D6A}
285,10183,1825,Resguardo Indígena Nasa de Kitek Kiwe,ACUERDO,0021,2017/06/27 00:00:00+00,41.1603,017536AE19807,NASA,19,19807,{91E51C71-71A0-4ADB-9F5B-DAE9063A4B37}
286,10645,1570,Resguardo Indígena Pijao El Vergel,RESOLUCION,0066,1999/09/16 00:00:00+00,51.5441,I-578.298,PIJAO,73,73504,{E777FB7A-1895-4429-B23D-783729F3DCB3}
287,10458,1677,Resguardo Indígena Wayuu Rodeito - El Pozo,RESOLUCION,0021,2003/04/10 00:00:00+00,106.843,"618,831",WAYUU,44,44378,{F28C85C5-CB5E-4110-AE20-5CF70118E5A0}
288,10299,1200,Resguardo Indígena Embera - Eperara de Ordo-Siviru-Aguaclara,RESOLUCION,0057,1992/09/29 00:00:00+00,4040,P-466.242,EMBERA,27,27077,{F0E128B8-3728-4C50-A926-98D65D7029B7}
289,11079,,Resguardo Indígena Alto Naporuna del pueblo Kichwa,RESOLUCION,514,2025/08/27 00:00:00+00,18567.6413,ACCTI023865734162,KICHWA,86,86573,{F4FED32D-A57E-49AA-9E28-FC33FAE441F3}
290,10439,1324,Resguardo Indígena Wayuu de la Alta Y Media Guajira,RESOLUCION,28,1994/07/19 00:00:00+00,1067505.425,P-198.540,WAYUU,44,44430,{303332EA-5E41-4C20-BAC8-D51F5B5FE60E}
291,10311,1673,Resguardo Indígena Waunan de Puerto Chichiliano,RESOLUCION,0017,2003/04/10 00:00:00+00,306.2683,I-466.891,EMBERA WAUNANA,27,27077,{5A8A7E5C-4AD5-41EA-8EF5-482DED444CB6}
292,10359,1237,Resguardo Indígena Embera de Wanchirado,RESOLUCION,0071,1992/12/19 00:00:00+00,9035,P-466.278,EMBERA,27,27413,{82282DBB-C551-463D-9938-D6D645B1B186}
293,10177,1175,Resguardo Indígena Embera asentada en la Zona Infi,RESOLUCION,0095,1982/07/27 00:00:00+00,4200,SIN INFORMACION,EMBERA,19,19809,{DCA9E840-16DC-4268-8C4B-15E1371639D3}
294,10391,1297,Resguardo Indígena Rio Cuiari e Isana,RESOLUCION,0083,1989/09/26 00:00:00+00,926500,P-198.899,CURRIPACO,94,94887,{DD3FCD5D-1B42-466C-8DF3-3487E003A556}
295,10249,1267,Resguardo Indígena de Arquia,ACUERDO,342,2023/12/22 00:00:00+00,2886.0733,ACCTI 0241278002273,CUNA,27,27006,{0A52908F-C277-446D-8632-6569C34D1413}
296,10152,1091,"Resguardo Indígena Witoto de Amenanae (Charco del Niño Dios)
Witoto de Mesai (Nombre Nuevo)",RESOLUCION,0040,1988/07/21 00:00:00+00,6960,P-198.541,HUITOTO,18,18756,{CB297A9F-BF95-46FD-95D7-A5881172861B}
297,10168,1162,Resguardo indígena Canoas,ACUERDO,390,2024/09/26 00:00:00+00,1229.6586,ACCTI02419698600,NASA,19,19698,{FF9594EB-2F94-4878-8074-015CA7153FEC}
298,10111,1088,Resguardo Indígena Paez Altamira,RESOLUCION,0012,1996/05/24 00:00:00+00,10556.3,P-466.503,PAEZ,18,18753,{601EA363-EA21-4537-854B-DF5977E9FE4E}
299,10200,1125,Resguardo Indígena Paez de Corinto,ACUERDO,104,2007/03/29 00:00:00+00,2753.9413,10-0-00103 de Febrero de 2007,PAEZ,19,19142,{598FA043-7017-43FC-9039-69FC26C4FF0F}
300,11731,SIN ASIGNAR,Resguardo Indígena Wuna´Apuchon Loma Fresca,RESOLUCION,298,2023/09/25 00:00:00+00,1083.812,ACCTI 440011828,WAYUU,44,44001,{F71DB1F8-9BAF-42CB-9A32-BE54DF4C27DF}
301,10777,1851,Resguardo Indígena Awia Tuparro,RESOLUCION,64,2018/07/26 00:00:00+00,146877.5872,ACCTI 9977353,SIKUANI,99,99773,{92200533-B303-48A0-AFA1-693572CCA4ED}
302,10099,1065,Resguardo Indígena Tunebo de Sabanas de Curipao,RESOLUCION,0015,1995/04/05 00:00:00+00,32932,P-466-448,TUNEBO,81,TAME,{52497F10-6BEC-4FFB-8BCC-1E6B3B3A9538}
303,10115,1075,Resguardo Indígena Embera Katio El Cedrito,RESOLUCION,0013,1995/04/05 00:00:00+00,120.725,504891,EMBERA KATIO,18,18410,{55CB31B7-B53F-478A-BC13-156F024EBF09}
304,10295,1213,Resguardo Indígena Embera del Rio Napipi,RESOLUCION,63,1986/10/01 00:00:00+00,21910,P-198620 de octubre de 1985,EMBERA,CHOCÓ,BOJAYA,{6CF71944-8177-45B3-9DA4-1D258D41E2F3}
305,10456,1319,Resguardo Indígena Wayuu de Trupiogacho y La Meseta,RESOLUCION,0087,1988/09/26 00:00:00+00,2309.7619,G-314-296,WAYUU,44,44078,{E0BD740A-5F2D-47C7-AADB-C1AF62951A57}
306,10443,1325,Resguardo Indígena Wayuu Cuatro De Noviembre,RESOLUCION,0022,1995/05/16 00:00:00+00,505.85,P-466.450,WAYUU,44,44430,{C7C5C789-8A32-44D1-8AAD-406F98AB3EAE}
307,10888,SIN INFORMACION,Resguardo Indígena Embera Katio de Cuti,ACUERDO,362,2024/04/29 00:00:00+00,260.8602,ACCTI 02327800229,EMBERA KATIO,27,27800,{128B5CC0-2B81-4AED-9510-B1AB5E39D8C7}
308,10304,1505,Resguardo Indígena Embera - Chami Peñas Del Olvido,RESOLUCION,0004,1998/05/11 00:00:00+00,231.8005,P 485.884B-1,EMBERA,27,27787,{18275F13-5A46-4AE9-A3E6-2DAE66A81CB6}
309,10566,,Resguardo Indígena Kofan ,RESOLUCION,"151
",1976/08/25 00:00:00+00,9325,G-147.910,KOFAN,86,86865,{BA50DA26-27C0-44F4-B3E8-FB72EA420692}
310,11302,1870,Resguardo Indígena Nukanchipa Alpa Amukunapa Wasi,ACUERDO,113,2020/01/28 00:00:00+00,30803.6248,ACCTI 86885474,INGA,86,86885,{36635137-A798-452A-A38B-9B35E73D474C}
311,10063,1832,Resguardo Indígena Altos del Tigre,ACUERDO,39,2017/12/11 00:00:00+00,73.5769,ACCTI 0512026,Zenú,05,Cácerees,{7F5020BC-905A-40D6-98AF-B3EC5D949929}
312,10457,1606,Resguardo Indígena Wayuu de Una'Apüchon,RESOLUCION,0051,2000/12/18 00:00:00+00,483.7,618252,WAYUU,44,44001,{4FF5E6A6-66BB-435B-BDD2-70892589E47A}
313,10709,1756,Resguardo Indígena Pijao Zanja Honda,ACUERDO,0208,2010/03/10 00:00:00+00,238.8681,10-0-00186,PIJAO,73,73217,{74E0A490-2117-4E44-A27A-C78E29C8D1FF}
314,11110,,Resguardo Indígena Aizama del Pueblo Embera Chami,ACUERDO,470,2025/04/30 00:00:00+00,15.7006,ACCTI023631111395,EMBERA CHAMI,63,63111,{511C9393-A4FF-4520-AD6A-EE93ADC2B6D9}
315,10550,1398,Resguardo Indígena Witoto de Agua Negra,RESOLUCION,43,1994/11/01 00:00:00+00,2858,P-466.387,WITOTO,86,86573,{93F6FE50-A954-46DB-8FB3-7115B61A6F2B}
316,10473,1333,Resguardo Indígena Guayabero de La Sal,RESOLUCION,23,1996/05/24 00:00:00+00,3275,G-129.620 DEL 23 DIC DE 1993,GUAYABERO,50,50577,{C3D7F58F-8624-4DDA-8188-C58C2DCA5A63}
317,11716,1896,Resguardo Indígena Casica Ibanasca,ACUERDO,206,2021/12/07 00:00:00+00,72,ACCTI 416681113,PIJAO,41,41668,{E9D4ECA1-014A-447C-8FF1-ABDED4772228}
318,10647,1773,Resguardo Indígena Pijao de Guadualito,ACUERDO,0241,2011/02/22 00:00:00+00,1087.5751,10-0-00553,PIJAO,73,73217,{54774158-9302-42E0-9027-ECA405FD7D50}
319,10766,1659,Resguardo Indígena Sikuani de Nueva Esperanza del Tomo,RESOLUCION,0027,2002/12/10 00:00:00+00,9986.3464,I-630.401,SUKUANI,99,99624,{D967CC13-E3F6-45FF-8CAE-F983A1AF3E35}
320,10734,1453,Resguardo Indígena Embera (Eperara) Rio Naya,ACUERDO,5,2015/12/21 00:00:00+00,2415.1977,017586AE76109,EPERARA SIAPIDARA,76,76109,{BFE8DE19-7619-42E6-971D-1CC58CA1A4A8}
321,10569,1592,Resuardo Indígena de Chaluayaco,RESOLUCION,0019,2000/06/29 00:00:00+00,527.722,R-121.593 de mayo de 1999,INGA,86,86885,{2E548531-9CF9-4CCD-B78C-077FA3E3A635}
322,10805,1871,Resguardo Indígena Leonardo Jose Campanario,ACUERDO,133,2020/10/26 00:00:00+00,80.6473,ACCTI 05120488,ZENÚ,05,05120,{A914E348-C40F-4B2C-A696-3CFCC95EAB52}
323,11599,,Resguardo Indígena Awa Unión La Dorada Pi Ishpul,ACUERDO,471,2025/04/30 00:00:00+00,1.5,ACCTI023867571396,AWÁ,86,86757,{333543A6-A816-4D04-A3E8-F312F9E224BC}
324,10038,1033,Resguardo Indígena Jai Dukama,ACUERDO,452,2024/12/19 00:00:00+00,2184.0622,ACCTI02405361942,EMBERA KATIO,05,05790,{4CF4FDAE-0DCD-4571-B35C-A752830C65A3}
325,10772,1501,Resguardo Indígena Saliva Corregimiento de Santa Rosalia,RESOLUCION,53,1983/07/21 00:00:00+00,5700,G-211.955,SALIVA,99,99624,{1BAEBF75-2CC1-49C1-9AB1-7A36BF4FF4AA}
326,10795,1875,Resguardo Indígena La Sardina,ACUERDO,142,2020/12/04 00:00:00+00,23.4494,ACCTI 05250537,ZENÚ,05,05250,{6AA470ED-DAC4-4472-9859-593536B722F4}
327,10611,1768,Resguardo Indígena Yanacona de Villa Maria De Anamu,ACUERDO,0228,2010/12/23 00:00:00+00,1496.8132,10-0-00425,YANACONA,86,86001,{A1AACBBD-A114-44AF-925E-0683E3C66774}
328,11094,SIN INFORMACION,Resguardo Indígena Bajo Mirador Yanacona del pueblo Yanacona,ACUERDO,431,2024/12/10 00:00:00+00,23.6282,ACCTI02386320904,YANACONA,86,86320,{00D3707D-8762-42B8-BBC1-06BC8109B521}
329,10806,1905,Resguardo Indígena Rio Alto De San Juan,ACUERDO,225,2022/05/24 00:00:00+00,107.3524,ACCTI 05665544,ZENÚ,05,05664,{59D22C4E-A357-4FFC-8E04-BF4A2A99F384}
330,10018,1067,Resguardo Indígena Ticuna de San Juan de Los Parentes,RESOLUCION,0075,1999/12/09 00:00:00+00,46.0781,587-909,TICUNA,91,91001,{246D82E7-BE4D-4667-A2BF-E9508F079085}
331,11047,SIN INFORMACION,Resguardo Indígena Nasa Kiwe del Pueblo Nasa,ACUERDO,412,2024/11/14 00:00:00+00,1355.6936,ACCTI02386573780,NASA,86,86573,{581102CD-7156-4C8A-873C-B00B711D10CD}
332,10235,1598,"Resguardo Indígena Yukpa de El Rosario, Bellavista y Yucatan",RESOLUCION,0034,2000/10/03 00:00:00+00,137.2155,A-532.357,YUKPA,20,20621,{F2EB6460-C0C3-44E4-909F-80FB690D2930}
333,10858,1878,Resguardo Indígena Raices De Oriente,ACUERDO,145,2020/12/16 00:00:00+00,143.4245,ACCTI 19552,NASA PAEZ,19,19548,{52716E87-7720-438C-91D4-B2CD9D8EB0B1}
334,10797,1910,Resguardo Indígena La Chinita,ACUERDO,245,2022/12/12 00:00:00+00,50.9839,ACCTI 05736507,EMBERA CHAMI,05,05736,{4A56196D-C713-48FD-B99A-21AAD3A64785}
335,10578,1388,Resguardo Indígena Inga De Condagua,RESOLUCION,269,2023/05/03 00:00:00+00,3325.0272,"ACCTI 860011616
ACCTI 860011617",INGA,86,86001,{223080FD-753A-4F75-B1B1-011E3E51E8D1}
336,10180,1131,Resguardo Indígena Páez de Jambaló,RESOLUCION,0010,2001/02/20 00:00:00+00,22027.8409,P-638.245,PAEZ,19,19364,{B479DC9C-13CB-4C94-906F-41692865343F}
337,10651,1437,Resguardo Indígena Pijao Guatavita Tua,RESOLUCION,0014,1997/06/23 00:00:00+00,623.5706,I-578-242,PIJAO,73,73504,{3C29E967-0F0A-4FF7-8035-9D2FCD724AA3}
338,10517,1356,Resguardo Indígena De Muellamuez,RESOLUCION,0003,1992/02/10 00:00:00+00,248.0575,"R-265.976
265.975
382.940
382.941
384.230
382.915",PASTOS,52,52317,{FBF5400C-5C6C-498D-8A35-2443C118938B}
339,11552,SIN ASIGNAR,Resguardo Indígena Chiquinima,ACUERDO,317,2023/12/06 00:00:00+00,10.2775,ACCTI 0231735042141,PIJAO,73,73504,{C10ED1AA-F0F5-493D-9566-3556FCA2775D}
340,10220,1163,Resguardo Indígena Paez de Guadualito,RESOLUCION,300,2023/09/25 00:00:00+00,922.1283,ACCTI 241196982056,PAEZ,19,19698,{3BE0DB0F-6D1A-4FC1-80C2-06B348B8AD79}
341,10582,1761,Resguardo Indígena Inkal Awa,ACUERDO,0222,2010/10/26 00:00:00+00,107.0589,R-4-6-00160,AWA,86,86320,{94C6C467-7DF7-4027-91C3-95B6377197F5}
342,10087,1058,Resguardo Indígena Guahibo Julieros y Velasqueros,RESOLUCION,0016,1985/02/20 00:00:00+00,228.55,p-196-556,GUAHIBO,81,81794,{F1D1135C-9B7E-4E69-8065-85A5D83F56ED}
343,10260,1617,Resguardo Indígena Embera Katio de Chidima - Tolo,RESOLUCION,0005,2001/02/20 00:00:00+00,4499.87,Plano CHIDIMA.DWG de julio de 1998 elaborado por la firma MECON LTDA,EMBERA KATIO,27,27006,{CFB04CEE-3104-41DD-8842-203493223075}
344,10676,1549,Resguardo Indígena Pijao de Potrerito,RESOLUCION,0021,1999/05/05 00:00:00+00,547.9836,I-579.801,PIJAO,73,73217,{F786F2D4-1358-4AD3-B705-C649D419A487}
345,10103,1662,Resguardo Indígena Embera Chami de Escopetera-Pirza,RESOLUCION,5,2003/04/10 00:00:00+00,437.1333,370792,EMBERA CHAMI,17,17614,{84A84028-ACA3-49C2-B8C5-026E2EF665A0}
346,10768,1643,Resguardo Indígena Sikuani de Punta Bandera,RESOLUCION,0004,2002/02/27 00:00:00+00,3150,"634,366",SUKUANI,99,99773,{E794760E-5818-42C4-9359-A6CE91770753}
347,10598,1755,Resguardo Indígena Awa de Playa Larga,ACUERDO,0201,2009/12/14 00:00:00+00,669.0303,R - 4 - 6 - 00159,AWA,86,86885,{5B201BDF-ADCE-4016-A9D8-33F27EE80548}
348,10520,1688,Resguardo Indígena Awa de Nunalbi Alto Ulbi,RESOLUCION,0032,2003/04/10 00:00:00+00,10363.1473,630-434 de mayo de 2003,AWA,52,52835,{8A1D9C78-3B65-4B3E-A675-E4E49F4495A8}
349,10315,1203,Resguardo Indígena Embera de Pueblito de la Quebrada Querá,RESOLUCION,0016,1992/06/28 00:00:00+00,4180,"466,148",EMBERA,27,27077,{C0DB3979-3B07-428E-ACF3-3198676D1C96}
350,10398,1305,Resguardo Indígena Guayabero de Barranco Colorado,RESOLUCION,0046,1995/10/17 00:00:00+00,9327,P-466384 del 26 de enero de 1994,GUAYABERO,95,95001,{7485F151-183E-48C6-9DF7-B3BA2AF269AE}
351,10583,1753,Resguardo Indígena Nasa Paez de Jerusalen - San Luis - Alto Picudito,ACUERDO,0186,2009/09/30 00:00:00+00,4979.14,20-0-00107,NASA PAEZ,86,86885,{0EAA74D8-1046-4DD8-A798-729B7852B049}
352,11070,,Resguardo Indígena Bajo Remanso,ACUERDO,442,2024/12/19 00:00:00+00,16860.3882,ACCTI023865573927,KICHWA,86,86573,{D27051E2-2611-4FED-8DF6-6924944BC561}
353,10799,1895,Resguardo Indígena Karamandu,ACUERDO,205,2021/12/07 00:00:00+00,145.9947,ACCTI 05579565,EMBERA,05,05579,{6528727A-F248-43B8-9639-5EA46E7B6BAC}
354,10971,SIN ASIGNAR,Resguardo Indígena Ancestral y Sitios Sagrados del Asentamiento Indígena Porvenir Meta - Aseinpome,RESOLUCION,290,2023/08/01 00:00:00+00,1469.801,ACCTI 50568423,KUBEO / SIKUANI,50,50568,{AFEA1F30-83A8-4B20-8562-165586E22BE6}
355,10758,SIN INFORMACION,Resguardo Indígena Los Angeles del pueblo Nasa,ACUERDO,386,2024/08/13 00:00:00+00,38.5972,ACCTI 41396811,NASA,41,41396,{C4272173-5D96-4D0C-B30D-9C56F60A92F7}
356,10372,1283,Resguardo Indígena Bajo Rio Guainia Y Rio Negro,RESOLUCION,0078,1989/09/26 00:00:00+00,759200,P-198.882,CURRIPACO,94,94001,{31E404AA-E9ED-458B-B4F1-D1C5764E8434}
357,10596,1691,Resguardo Indígena Pasto Nuevo Horizonte,ACUERDO,469,2025/04/30 00:00:00+00,213.3263,ACCTI0248675711468,PASTOS,86,86865,{2015D6AD-807D-492B-A079-AE1883C8A674}
358,10410,1309,Resguardo Indígena Guayabero La Fuga,RESOLUCION,47,1997/12/10 00:00:00+00,3680,SIN INFORMACION,GUAYABERO,95,95001,{D6FD6D5D-E33C-4B43-AE0A-C2D21337D5CC}
359,11129,SIN INFORMACION,Resguardo Indígena Poincos Taira del Pueblo Pijao,ACUERDO,409,2024/11/07 00:00:00+00,25.1284,ACCTI02373563757,PIJAO,73,73563,{93027723-6247-449B-863A-825FC81CE97A}
360,10706,1442,Resguardo Indígena Pijao de Vuelta Del Rio,ACUERDO,392,2024/09/26 00:00:00+00,103.4693,ACCTI 02473504595,PIJAO,73,73504,{C1D057B8-C628-4672-8666-4F801666B470}
361,10091,1603,Resguardo Indígena U´wa de Laguna Tranquila,RESOLUCION,0048,2000/12/18 00:00:00+00,15943.5,B-553.649 B,U´WA,81,81794,{2A1FF1D1-685D-473C-AF15-52917526B76A}
